what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui",1368600988114
started,bundle,org.eclipse.jgit,2.0.0.201206130900-r,"org.eclipse.jgit",1368600988115
started,bundle,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.adt",1368600988115
started,bundle,com.android.ide.eclipse.base,21.1.0.v201302060044-569685,"com.android.ide.eclipse.base",1368600988115
os,sysinfo,,,"macosx",1368600988118
arch,sysinfo,,,"x86_64",1368600988118
ws,sysinfo,,,"cocoa",1368600988118
locale,sysinfo,,,"en_US",1368600988118
processors,sysinfo,,,"8",1368600988118
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1368600988118
java.runtime.version,sysinfo,,,"1.6.0_45-b06-451-11M4406",1368600988118
java.specification.name,sysinfo,,,"Java Platform API Specification",1368600988118
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1368600988118
java.specification.version,sysinfo,,,"1.6",1368600988118
java.vendor,sysinfo,,,"Apple Inc.",1368600988118
java.version,sysinfo,,,"1.6.0_45",1368600988118
java.vm.info,sysinfo,,,"mixed mode",1368600988118
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1368600988118
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1368600988118
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1368600988118
java.vm.specification.version,sysinfo,,,"1.0",1368600988118
java.vm.vendor,sysinfo,,,"Apple Inc.",1368600988118
java.vm.version,sysinfo,,,"20.45-b01-451",1368600988118
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1368600988122
error,log,,,"SecurityException: Unable to find field for dex.jar",1368600989470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368600990890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368600990931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368601028498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368601803961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368602124639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368602176400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368602526562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368602541502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368602545266
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1368602548830
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1368602548837
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1368602548838
